key,asset_team,well,category,entry_type,well_name_meta,bytes,parse_source,parsed_ref
FORMENTERA SOUTH TEXAS/DONUT PALACE-STX-UNIT S733H/Logs & Surveys/LWD/2026-05-07 Donut Palace-STX-Unit S733H-MD 1 inch [36094864].pdf,FORMENTERA SOUTH TEXAS,DONUT PALACE-STX-UNIT S733H,Logs & Surveys/LWD,LWD Real Time Data,DONUT PALACE-STX-UNIT S733H,946245,unparsed,
FORMENTERA SOUTH TEXAS/WRANGLER-STX-UNIT N731H/Completions/Frac/2026-05-05 WRANGLER-STX-UNIT N731H - Ticket - Stage 69 [36078963].pdf,FORMENTERA SOUTH TEXAS,WRANGLER-STX-UNIT N731H,Completions/Frac,Frac Report,WRANGLER-STX-UNIT N731H,155932,unparsed,
FORMENTERA SOUTH TEXAS/WRANGLER-STX-UNIT N734H/Completions/Frac/WRANGLER-STX-UNIT N734H - Ticket - Stage 22.pdf,FORMENTERA SOUTH TEXAS,WRANGLER-STX-UNIT N734H,Completions/Frac,Frac Report,WRANGLER-STX-UNIT N734H,153343,unparsed,
FORMENTERA SOUTH TEXAS/DONUT PALACE-STX-UNIT S733H/Drilling/Directional/2026-04-15 Donut Palace-STX-Unit S733H-surveys [35533016].csv,FORMENTERA SOUTH TEXAS,DONUT PALACE-STX-UNIT S733H,Drilling/Directional,Deviation Survey,DONUT PALACE-STX-UNIT S733H,9504,unparsed,
FORMENTERA SOUTH TEXAS/HOOEY-STX-UNIT-C N736H/Drilling/BHA & Bits/2026-04-21 HOOEY-STX-UNIT-C N736H - BHA 4 Lateral (iCruise) [35684276].pdf,FORMENTERA SOUTH TEXAS,HOOEY-STX-UNIT-C N736H,Drilling/BHA & Bits,BHA,HOOEY-STX-UNIT-C N736H,222704,unparsed,
"FORMENTERA SOUTH TEXAS/REVIVAL-STX-UNIT-A S724H/Completions/Frac/Formentera Operations, LLC_REVIVAL-STX-UNIT-A S724H_Stage_55.pdf",FORMENTERA SOUTH TEXAS,REVIVAL-STX-UNIT-A S724H,Completions/Frac,Frac Report,REVIVAL-STX-UNIT-A S724H,401060,unparsed,
FORMENTERA SOUTH TEXAS/Lucille-STX-Unit-B S 727H/Drilling/Directional/2026-07-01 Lucille-STX-Unit-B-S727H-surveys [36952557].csv,FORMENTERA SOUTH TEXAS,Lucille-STX-Unit-B S 727H,Drilling/Directional,Deviation Survey,Lucille-STX-Unit-B S 727H,5247,unparsed,
FORMENTERA SOUTH TEXAS/DONUT PALACE-STX-UNIT S725H/Logs & Surveys/LWD/2026-06-14 Donut Palace-STX-Unit S725H-TVD 5 inch [36685193].pdf,FORMENTERA SOUTH TEXAS,DONUT PALACE-STX-UNIT S725H,Logs & Surveys/LWD,LWD Real Time Data,DONUT PALACE-STX-UNIT S725H,853489,unparsed,
FORMENTERA SOUTH TEXAS/G2 845-846-STX C311VW/Regulatory/Permits & Filings/FRIO COUNTY CLERK.pdf,FORMENTERA SOUTH TEXAS,G2 845-846-STX C311VW,Regulatory/Permits & Filings,Regulatory Information,G2 845-846-STX C311VW,179354,unparsed,
FORMENTERA SOUTH TEXAS/DONUT PALACE-STX-UNIT S733H/Drilling/Directional/2026-04-12 Donut Palace-STX-Unit S733H-surveys [35472844].xlsx,FORMENTERA SOUTH TEXAS,DONUT PALACE-STX-UNIT S733H,Drilling/Directional,Deviation Survey,DONUT PALACE-STX-UNIT S733H,26410,unparsed,
FORMENTERA SOUTH TEXAS/HOOEY-STX-UNIT-B N724H/Logs & Surveys/LWD/2026-05-21 Hooey-STX-Unit-B-N724H-TVD 2 Inch [36282274].pdf,FORMENTERA SOUTH TEXAS,HOOEY-STX-UNIT-B N724H,Logs & Surveys/LWD,LWD Real Time Data,HOOEY-STX-UNIT-B N724H,565505,unparsed,
FORMENTERA SOUTH TEXAS/WRANGLER-STX-UNIT N734H/Drilling/Mud & Fluids/Formentera_Patt 271_Wrangler STX Unit 734H_SCR #19.pdf,FORMENTERA SOUTH TEXAS,WRANGLER-STX-UNIT N734H,Drilling/Mud & Fluids,Solids Report,WRANGLER-STX-UNIT N734H,98768,unparsed,
FORMENTERA SOUTH TEXAS/DONUT PALACE-STX-UNIT S725H/Logs & Surveys/LWD/2026-06-18 Donut Palace-STX-Unit S725H-MD 1 inch [36747603].pdf,FORMENTERA SOUTH TEXAS,DONUT PALACE-STX-UNIT S725H,Logs & Surveys/LWD,LWD Real Time Data,DONUT PALACE-STX-UNIT S725H,914034,unparsed,
FORMENTERA SOUTH TEXAS/DONUT PALACE-STX-UNIT S725H/Logs & Surveys/LWD/2026-06-14 Donut Palace-STX-Unit S725H-MD 2 inch [36679862].pdf,FORMENTERA SOUTH TEXAS,DONUT PALACE-STX-UNIT S725H,Logs & Surveys/LWD,LWD Real Time Data,DONUT PALACE-STX-UNIT S725H,739164,unparsed,
FORMENTERA SOUTH TEXAS/DONUT PALACE-STX-UNIT S721H/Drilling/Directional/2026-05-25 Donut Palace-STX-Unit S721H-surveys [36353408].xls,FORMENTERA SOUTH TEXAS,DONUT PALACE-STX-UNIT S721H,Drilling/Directional,Deviation Survey,DONUT PALACE-STX-UNIT S721H,55808,unparsed,
FORMENTERA SOUTH TEXAS/DONUT PALACE-STX-UNIT S725H/Drilling/Mud & Fluids/4216334396000_DONUT-PALACE-STX-UNIT-S725H_FORMENTERA_MUDLOG AM REPORT_06082026.pdf,FORMENTERA SOUTH TEXAS,DONUT PALACE-STX-UNIT S725H,Drilling/Mud & Fluids,Mud Log Data,DONUT PALACE-STX-UNIT S725H,38315,unparsed,
FORMENTERA SOUTH TEXAS/Lucille-STX-Unit-A S 724H/Logs & Surveys/LWD/2026-06-22 Lucille-STX-Unit-B-S724H-TVD 2 inch [36808232].pdf,FORMENTERA SOUTH TEXAS,Lucille-STX-Unit-A S 724H,Logs & Surveys/LWD,LWD Real Time Data,Lucille-STX-Unit-A S 724H,102719,unparsed,
FORMENTERA SOUTH TEXAS/DONUT PALACE-STX-UNIT S725H/Logs & Surveys/LWD/2026-06-13 Donut Palace-STX-Unit S725H-TVD 1 inch [36675672].pdf,FORMENTERA SOUTH TEXAS,DONUT PALACE-STX-UNIT S725H,Logs & Surveys/LWD,LWD Real Time Data,DONUT PALACE-STX-UNIT S725H,699273,unparsed,
